"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","FL",32266,,66,,82237,82237,3307,92,,,9339038,19166,864153,816231,16887410,,,1909209,1548837,4024,0,190026,,178979,,2502506,,22339182,64599,22339182,64599,1054711,,995580,,11248247,23190,19482607,52132
"2021-03-07","GA",17906,15598,1,2308,56797,56797,2008,35,9263,,,0,,,,,,1023487,828336,1709,0,78312,168867,,,803515,,,0,7359069,18827,482568,1484921,,,,0,7359069,18827
"2021-03-07","GU",133,,0,,,,2,0,,1,112887,0,,,,,1,7749,7540,0,0,27,248,,,,7590,,0,120636,0,358,9299,,,,0,120426,0
"2021-03-07","HI",445,445,1,,2226,2226,27,0,,5,,0,,,,,3,28699,27891,53,0,,,,,27774,,1146796,5117,1146796,5117,,,,,,0,,0
"2021-03-07","IA",5558,,6,,,,167,0,,35,1044418,1299,,93984,2432425,,6,282384,282384,257,0,,60700,19704,57190,306343,320054,,0,1326802,1556,,1390094,113739,247999,1329195,1555,2753899,4464
"2021-03-07","ID",1879,1652,3,227,7184,7184,150,5,1245,33,505964,535,,,,,,172931,139874,104,0,,,,,,96017,,0,645838,396,,123809,,,645838,396,1103725,877
"2021-03-07","IL",23014,20763,12,2251,,,1141,0,,255,,0,,,,,112,1198335,,1068,0,,,,,,,,0,18640190,68094,,,,,,0,18640190,68094
"2021-03-07","IN",12737,12310,11,427,43217,43217,656,64,7600,104,2483156,4643,,,,,50,667262,,746,0,,,,,760491,,,0,8242367,29427,,,,,3150418,5389,8242367,29427
"2021-03-07","KS",4812,,0,,9387,9387,235,0,2554,50,974686,0,,,,411,22,295861,,0,0,,,,,,,,0,1270547,0,,602322,,,1270547,0,2525259,0
"2021-03-07","KY",4819,4369,13,450,19457,19457,558,6,4034,156,,0,,,,,82,410709,314385,525,0,9929,37655,,,251921,48145,,0,3975672,0,111886,509047,,,,0,3975672,0
"2021-03-07","LA",9748,9033,32,715,,,532,0,,,5261679,20578,,,,,75,433785,372514,740,0,,,,,,415954,,0,5695464,21318,,469967,,,,0,5634193,21098
"2021-03-07","MA",16417,16085,43,332,19713,19713,665,0,,174,4404792,8028,,,,,116,591356,559083,1425,0,,,15425,,668145,508745,,0,16825551,96578,,,156185,580372,4963875,9309,16825551,96578
"2021-03-07","MD",7955,7773,14,182,35651,35651,818,79,,215,3034546,2050,,169779,,,,387319,387319,709,0,,,28360,,472716,9703,,0,8097590,33128,,,198139,,3421865,2759,8097590,33128
"2021-03-07","ME",706,683,2,23,1570,1570,67,4,,16,,0,14232,,,,8,45794,35846,159,0,869,10749,,,41510,12840,,0,1660180,7490,15113,213426,,,,0,1660180,7490
"2021-03-07","MI",16658,15666,0,992,,,866,0,,222,,0,,,9869602,,97,656072,596054,0,0,,,,,752365,549881,,0,10621967,0,537073,,,,,0,10621967,0
"2021-03-07","MN",6550,6276,4,274,25978,25978,224,2,5364,57,3058514,8218,,,,,,490011,465547,895,0,,,,,,476055,7111428,25369,7111428,25369,,451963,,,3524061,8998,,0
"2021-03-07","MO",8161,,0,,,,955,0,,197,1878583,2950,127001,,4025535,,135,480643,480643,291,0,24926,83657,,,530741,,,0,4565866,10659,152126,906752,135759,366813,2359226,3241,4565866,10659
"2021-03-07","MP",2,2,0,,4,4,,0,,,17429,0,,,,,,145,145,1,0,,,,,,29,,0,17574,1,,,,,17542,0,26131,0
"2021-03-07","MS",6808,4737,3,2071,9162,9162,419,0,,89,1459374,0,,,,,47,297581,184278,260,0,,,,,,278162,,0,1756955,260,81986,748339,,,,0,1642348,0
"2021-03-07","MT",1381,,0,,4630,4630,63,1,,12,,0,,,,,6,100914,95390,72,0,,,,,,97943,,0,1104488,3132,,,,,,0,1104488,3132
"2021-03-07","NC",11502,10169,0,1333,,,1179,0,,309,,0,,,,,,872176,759617,0,0,,,,,,,,0,9688838,0,,805924,,,,0,9688838,0
"2021-03-07","ND",1478,,0,,3880,3880,23,2,567,3,305912,-109,,,,,,100391,94928,34,0,,,,,,98326,1425146,679,1425146,679,,156698,,,406303,-75,1536487,881
"2021-03-07","NE",2113,,0,,6237,6237,137,8,,,771128,542,,,2182938,,,203026,,373,0,,,,,235965,157144,,0,2421684,1,,,,,974759,978,2421684,1
"2021-03-07","NH",1184,,3,,1131,1131,68,4,348,,579582,396,,,,,,76861,54064,166,0,,,,,,73615,,0,1497185,15697,39545,205103,37918,,633646,521,1497185,15697
"2021-03-07","NJ",23574,21177,17,2397,64396,64396,1792,58,,376,10186941,0,,,,,232,812609,720939,2519,0,,,,,,,,0,10999550,2519,,,,,,0,10902830,0
"2021-03-07","NM",3808,,12,,13252,13252,169,10,,,,0,,,,,,186922,,180,0,,,,,,156554,,0,2783542,11702,,,,,,0,2783542,11702
"2021-03-07","NV",5037,,1,,,,399,0,,87,1131758,1829,,,,,48,296190,296190,730,0,,,,,,,2770192,6201,2770192,6201,,,,,1427948,2059,,0
"2021-03-07","NY",39029,,59,,,,4789,0,,999,,0,,,,,682,1681169,,6789,0,,,,,,,39695100,227768,39695100,227768,,,,,,0,,0
"2021-03-07","OH",17656,14752,0,2594,50881,50881,820,33,7207,260,,0,,,,,171,978471,836358,735,0,,86990,,,864925,925655,,0,10257157,29289,,1798150,,,,0,10257157,29289
"2021-03-07","OK",4534,,0,,24332,24332,346,55,,100,3146300,0,,,3146300,,,428997,,461,0,23139,,,,389855,412177,,0,3575297,461,152279,,,,,0,3548479,0
"2021-03-07","OR",2296,,3,,8714,8714,158,0,,32,,0,,,3624001,,12,157079,,195,0,,,,,226972,,,0,3850973,0,,,,,,0,3850973,0
"2021-03-07","PA",24349,,32,,,,1587,0,,314,3942124,6592,,,,,183,948643,814540,1658,0,,,,,,861756,10681716,52432,10681716,52432,,,,,4756664,8073,,0
"2021-03-07","PR",2062,1752,3,310,,,134,0,,21,305972,0,,,395291,,19,101632,93620,305,0,85241,,,,20103,91987,,0,407604,305,,,,,,0,415664,0
"2021-03-07","RI",2547,,0,,9020,9020,141,0,,25,677570,1421,,,2970088,,16,128781,,265,0,,,,,153260,,3123348,13513,3123348,13513,,,,,806351,1686,,0
"2021-03-07","SC",8754,7744,35,1010,20725,20725,579,66,,137,4657179,25856,106809,,4526263,,83,525865,449977,1408,0,28316,111239,,,580893,218863,,0,5183044,27264,135125,912838,,,,0,5107156,26282
"2021-03-07","SD",1900,,2,,6705,6705,72,13,,9,314540,524,,,,,6,113589,100690,211,0,,,,,105096,109531,,0,701924,1275,,,,,428129,735,701924,1275
"2021-03-07","TN",11543,9278,0,2265,18870,18870,851,0,,218,,0,,,6119050,,127,782206,653905,0,0,,140582,,,753695,756793,,0,6872745,0,,1430665,,,,0,6872745,0
"2021-03-07","TX",44451,,84,,,,4721,0,,1463,,0,,,,,,2686818,2320857,2953,0,159003,211014,,,2628176,2502609,,0,19907384,76040,1033285,2664340,,,,0,19907384,76040
"2021-03-07","UT",1976,,1,,14891,14891,212,24,2344,73,1560293,3204,,,2564131,822,,374850,,412,0,,60158,,57683,345990,358958,,0,2910121,6828,,1002177,,371319,1876802,3460,2910121,6828
"2021-03-07","VA",9596,8104,77,1492,24661,24661,1127,24,,258,,0,,,,,168,585700,461172,1163,0,28980,125061,,,562266,,6038209,19925,6038209,19925,224284,1454389,,,,0,,0
"2021-03-07","VI",25,25,0,,,,,0,,,46167,0,,,,,,2714,,0,0,,,,,,2559,,0,48881,0,,,,,48961,0,,0
"2021-03-07","VT",208,,0,,,,31,0,,1,320060,643,,,,,,16083,15635,119,0,,,,,,13384,,0,1124215,8748,,,,,335695,759,1124215,8748
"2021-03-07","WA",5041,,0,,19599,19599,431,43,,98,,0,,,5068404,,43,344532,325053,664,0,,,,,324994,,5393756,24040,5393756,24040,,,,,,0,,0
"2021-03-07","WI",7106,6481,4,625,26457,26457,249,25,2273,66,2647864,3521,,,,,,621654,566693,377,0,,,,,,553203,7080595,19193,7080595,19193,,,,,3214557,3850,,0
"2021-03-07","WV",2325,1981,2,344,,,179,0,,40,,0,,,,,26,133445,106629,155,0,,,,,,125383,,0,2236551,6449,33011,,,,,0,2236551,6449
"2021-03-07","WY",682,,0,,1391,1391,21,0,,,182264,0,,,602513,,,54764,46397,0,0,,,,,38993,53550,,0,649293,0,,,,,228661,0,649293,0
"2021-03-06","AK",305,,0,,1293,1293,33,0,,,,0,,,1660758,,2,56886,,0,0,,,,,68693,,,0,1731628,0,,,,,,0,1731628,0
"2021-03-06","AL",10149,7963,27,2186,45976,45976,526,0,2675,,1929624,4866,,,,1514,,499411,391817,524,0,,,,,,295690,,0,2321441,5314,,,119456,,2321441,5314,,0
"2021-03-06","AR",5297,4302,14,995,14915,14915,345,12,,148,2477449,4711,,,2477449,1533,75,324653,255613,327,0,,,,81756,,315181,,0,2733062,4959,,,,479963,,0,2733062,4959
"2021-03-06","AS",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-03-06","AZ",16323,14395,54,1928,57863,57863,966,44,,280,3059332,8442,,,,,140,825119,768757,1735,0,,,,,,,,0,7862995,35425,580318,,443336,,3828089,9639,7862995,35425
"2021-03-06","CA",53866,,418,,,,4513,0,,1221,,0,,,,,,3497578,3497578,4452,0,,,,,,,,0,49512828,218325,,,,,,0,49512828,218325
"2021-03-06","CO",5986,5251,0,735,23886,23886,326,23,,,2199458,5505,368326,,,,,435762,410976,1108,0,62612,,,,,,6376960,33600,6376960,33600,433082,,,,2610434,6427,,0
"2021-03-06","CT",7704,6327,0,1377,,,428,0,,,,0,,,6188566,,,285330,265709,0,0,,22245,,,323284,,,0,6520366,0,,396680,,,,0,6520366,0
"2021-03-06","DC",1030,,3,,,,150,0,,40,,0,,,,,15,41273,,151,0,,,,,,29470,1255637,8000,1255637,8000,,,,,440793,1280,,0
"2021-03-06","DE",1464,1328,11,136,,,114,0,,12,544153,1362,,,,,,88139,83424,265,0,,,,,91685,,1426075,8757,1426075,8757,,,,,632292,1627,,0
"2021-03-06","FL",32200,,107,,82145,82145,3352,243,,,9319872,23282,864153,816231,16841086,,,1905185,1545643,4587,0,190026,,178979,,2496909,,22274583,87820,22274583,87820,1054711,,995580,,11225057,27869,19430475,59303
"2021-03-06","GA",17905,15597,90,2308,56762,56762,2071,135,9260,,,0,,,,,,1021778,827397,2269,0,77793,168005,,,802411,,,0,7340242,24765,481545,1478232,,,,0,7340242,24765
"2021-03-06","GU",133,,0,,,,2,0,,1,112887,0,,,,,1,7749,7540,1,0,27,248,,,,7590,,0,120636,1,358,9299,,,,0,120426,0
"2021-03-06","HI",444,444,1,,2226,2226,27,1,,5,,0,,,,,3,28646,27838,85,0,,,,,27726,,1141679,5284,1141679,5284,,,,,,0,,0
"2021-03-06","IA",5552,,3,,,,170,0,,38,1043119,1515,,93873,2428315,,10,282127,282127,362,0,,60633,19635,57133,306056,319780,,0,1325246,1877,,1388623,113559,247775,1327640,1871,2749435,7094
"2021-03-06","ID",1876,1649,0,227,7179,7179,150,15,1245,33,505429,504,,,,,,172827,140013,240,0,,,,,,95808,,0,645442,646,,123809,,,645442,646,1102848,2572
"2021-03-06","IL",23002,20750,56,2252,,,1210,0,,261,,0,,,,,108,1197267,,2565,0,,,,,,,,0,18572096,79248,,,,,,0,18572096,79248
"2021-03-06","IN",12726,12299,29,427,43153,43153,663,49,7586,118,2478513,5155,,,,,60,666516,,1231,0,,,,,759598,,,0,8212940,41718,,,,,3145029,6386,8212940,41718
"2021-03-06","KS",4812,,0,,9387,9387,235,0,2554,50,974686,0,,,,411,22,295861,,0,0,,,,,,,,0,1270547,0,,602322,,,1270547,0,2525259,0
"2021-03-06","KY",4806,4356,52,450,19451,19451,591,71,4034,171,,0,,,,,72,410184,313998,839,0,9929,37655,,,251921,48131,,0,3975672,5773,111886,509047,,,,0,3975672,5773
"2021-03-06","LA",9716,9007,0,709,,,538,0,,,5241101,0,,,,,77,433045,371994,0,0,,,,,,415954,,0,5674146,0,,466494,,,,0,5613095,0
"2021-03-06","MA",16374,16044,52,330,19713,19713,687,0,,176,4396764,7826,,,,,114,589931,557802,1722,0,,,15425,,666605,508745,,0,16728973,100359,,,156185,578153,4954566,9321,16728973,100359
"2021-03-06","MD",7941,7759,11,182,35572,35572,830,194,,230,3032496,7547,,169779,,,,386610,386610,932,0,,,28360,,471762,9703,,0,8064462,40384,,,198139,,3419106,8479,8064462,40384
"2021-03-06","ME",704,681,0,23,1566,1566,74,6,,20,,0,14232,,,,9,45635,35759,183,0,869,10646,,,41390,12838,,0,1652690,8103,15113,210929,,,,0,1652690,8103
"2021-03-06","MI",16658,15666,57,992,,,866,0,,222,,0,,,9869602,,97,656072,596054,1692,0,,,,,752365,549881,,0,10621967,37232,537073,,,,,0,10621967,37232
"2021-03-06","MN",6546,6272,12,274,25976,25976,224,38,5364,57,3050296,6988,,,,,,489116,464767,946,0,,,,,,475170,7086059,28026,7086059,28026,,448578,,,3515063,7786,,0
"2021-03-06","MO",8161,,3,,,,1001,0,,198,1875633,3308,126755,,4015210,,136,480352,480352,386,0,24832,83481,,,530416,,,0,4555207,14140,151786,900275,135520,364697,2355985,3694,4555207,14140
"2021-03-06","MP",2,2,0,,4,4,,0,,,17429,0,,,,,,144,144,0,0,,,,,,29,,0,17573,0,,,,,17542,0,26131,0
"2021-03-06","MS",6805,4734,22,2071,9162,9162,419,0,,89,1459374,0,,,,,47,297321,184157,576,0,,,,,,278162,,0,1756695,576,81986,748339,,,,0,1642348,0
"2021-03-06","MT",1381,,2,,4629,4629,63,19,,12,,0,,,,,6,100842,95336,186,0,,,,,,97801,,0,1101356,4443,,,,,,0,1101356,4443
"2021-03-06","NC",11502,10169,56,1333,,,1179,0,,309,,0,,,,,,872176,759617,2027,0,,,,,,,,0,9688838,38654,,805924,,,,0,9688838,38654
"2021-03-06","ND",1478,,0,,3878,3878,21,3,567,3,306021,111,,,,,,100357,94906,79,0,,,,,,98240,1424467,1930,1424467,1930,,156289,,,406378,190,1535606,2599
"2021-03-06","NE",2113,,1,,6229,6229,136,3,,,770586,1354,,,2183243,,,202653,,343,0,,,,,235726,156825,,0,2421683,10138,,,,,973781,1701,2421683,10138
"2021-03-06","NH",1181,,3,,1127,1127,90,1,348,,579186,1496,,,,,,76695,53939,273,0,,,,,,73327,,0,1481488,0,39484,201268,37902,,633125,1680,1481488,0
"2021-03-06","NJ",23557,21160,36,2397,64338,64338,1862,-916,,382,10186941,0,,,,,233,810090,718873,3720,0,,,,,,,,0,10997031,3720,,,,,,0,10902830,0
"2021-03-06","NM",3796,,9,,13242,13242,148,13,,,,0,,,,,,186742,,282,0,,,,,,155000,,0,2771840,13846,,,,,,0,2771840,13846
"2021-03-06","NV",5036,,16,,,,399,0,,87,1129929,2551,,,,,48,295460,295960,0,0,,,,,,,2763991,9659,2763991,9659,,,,,1425889,3051,,0
"2021-03-06","NY",38970,,79,,,,4954,0,,1012,,0,,,,,694,1674380,,7647,0,,,,,,,39467332,273132,39467332,273132,,,,,,0,,0
"2021-03-06","OH",17656,14752,0,2594,50848,50848,922,66,7205,273,,0,,,,,188,977736,835856,1506,0,,86651,,,863985,923986,,0,10227868,40190,,1787169,,,,0,10227868,40190
"2021-03-06","OK",4534,,0,,24277,24277,346,120,,100,3146300,11240,,,3146300,,,428536,,978,0,23139,,,,389855,411624,,0,3574836,12218,152279,,,,,0,3548479,11750
"2021-03-06","OR",2293,,9,,8714,8714,158,15,,32,,0,,,3624001,,12,156884,,211,0,,,,,226972,,,0,3850973,52906,,,,,,0,3850973,52906
"2021-03-06","PA",24317,,55,,,,1513,0,,314,3935532,9494,,,,,171,946985,813059,2789,0,,,,,,859218,10629284,0,10629284,0,,,,,4748591,11534,,0
"2021-03-06","PR",2059,1749,3,310,,,147,0,,24,305972,0,,,395291,,18,101327,93336,261,0,84115,,,,20103,91987,,0,407299,261,,,,,,0,415664,0
"2021-03-06","RI",2547,,6,,9020,9020,141,0,,25,676149,1634,,,2956871,,16,128516,,395,0,,,,,152964,,3109835,21854,3109835,21854,,,,,804665,2029,,0
"2021-03-06","SC",8719,7711,20,1008,20659,20659,623,54,,157,4631323,27774,106601,,4501627,,86,524457,449151,1199,0,28174,110613,,,579247,218863,,0,5155780,28973,134775,902974,,,,0,5080874,29050
